age,salary,phone,remote_work
25.0,67342.06,-2497243991,True
,76099.64,-116691835,False
35.0,94162.06,-2644886945,True
25.0,67639.7,-1195243639,True
35.0,114172.25,-2701168645,True
30.0,89124.54,-2252237280,True
30.0,113871.36,-7932302345,False
,62618.4,-7912141613,False
30.0,70705.45,-1509377099,False
35.0,60797.69,-4090138068,True
40.0,100371.0,-8477596554,True
40.0,117591.76,-5356690550,False
35.0,103860.7,-762091842,True
30.0,67500.22,-5797863049,True
,58727.44,-5057397690,True
35.0,80623.08,-5671649327,True
40.0,77751.78,-9802714871,False
25.0,115157.81,-7178333210,False
30.0,83071.85,-6025643470,False
40.0,67914.67,-2871539914,True
25.0,53342.46,-6686334140,False
25.0,51150.47,-1159319524,False
30.0,74697.12,-6904098365,True
25.0,88085.74,-5528993159,True
40.0,118672.76,-8752437728,False
35.0,95997.31,-4209548148,False
30.0,106945.62,-7374605232,False
40.0,100123.15,-276420864,False
35.0,52933.42,-6756618442,True
,95283.03,-8612590471,False
35.0,112264.06,-9277423329,False
35.0,75714.28,-5912662014,True
25.0,92171.73,-7201859625,False
35.0,70694.8,-3013674925,True
30.0,52964.86,-1764750110,True
,116353.31,-1783099973,True
35.0,116695.26,-1926764920,False
25.0,95161.4,-5182606887,False
,76040.94,-7189813128,True
,69508.28,-2087510292,False
30.0,58243.27,-2184011844,False
30.0,64012.48,-8260340847,True
40.0,106735.93,-7297585987,True
35.0,70325.36,-3103032431,False
30.0,118959.28,-9839542960,True
40.0,75823.78,-8446267145,False
,119971.65,-2831435988,False
40.0,94963.7,-2625660930,False
30.0,103744.71,-4181861514,False
25.0,61337.69,-5423401635,True
35.0,63741.13,-1128497184,True
30.0,56539.99,-9484910255,True
30.0,73633.37,-2588967923,True
25.0,90373.99,-822269404,False
,93901.48,-3967275783,False
40.0,81748.09,-4683414650,True
40.0,73813.48,-1131290147,False
35.0,89315.59,-7068277880,False
25.0,56776.82,-6093068537,False
,72920.51,-9097283214,True
30.0,84913.18,-2850676250,True
25.0,65060.11,-5381447442,True
35.0,82941.08,-963480796,False
40.0,103469.97,-509754509,True
25.0,88725.6,-5265016730,True
,58316.77,-8826170242,True
35.0,60098.72,-7654562840,True
,99951.43,-7722560530,True
30.0,115195.81,-3402665022,True
,85512.05,-7416787255,False
,73186.77,-8621102257,False
,51865.3,-305690673,True
25.0,94031.77,-4716392822,True
30.0,116374.36,-4143637188,False
40.0,98335.02,-2392312603,False
25.0,89262.07,-3260931065,True
,113848.69,-8433567085,True
35.0,69530.45,-414545634,True
35.0,84230.22,-200053473,True
35.0,76578.59,-9162475540,False
30.0,55532.06,-1082555988,True
40.0,115311.68,-5343961128,True
25.0,66972.06,-1093371188,True
30.0,100215.06,-5473820235,True
25.0,115452.25,-8485571616,False
30.0,54141.38,-6880294239,False
,79251.95,-9036788126,False
40.0,114822.78,-8686694319,True
35.0,69919.32,-2939087883,True
30.0,106616.97,-4344812307,False
35.0,73597.85,-3402424032,True
30.0,79939.23,-8105955183,True
25.0,,-2694500533,False
30.0,90772.25,-2408916497,False
35.0,58275.74,-3735439626,False
,94709.79,-3652717271,False
,60722.99,-2397240421,True
40.0,87626.24,-6931216375,True
30.0,81272.36,-1820916600,False
,64150.97,-23142899,True
35.0,64378.1,-1851327971,False
,85927.35,-4572308480,False
,51523.93,-18418619,True
30.0,74117.02,-3036625435,False
25.0,62598.69,-1721314518,True
35.0,55617.5,-5151092267,True
35.0,87018.98,-5926249450,True
25.0,100336.58,-4754102251,True
30.0,69295.48,-6771196420,False
25.0,115536.66,-5226557675,True
30.0,81250.87,-9523668787,False
30.0,66403.75,-7883619688,False
30.0,114147.79,-3135030586,False
30.0,65472.99,-2105524727,False
,97512.51,-6333021259,True
35.0,86712.41,-6501917919,True
30.0,87654.98,-2521310961,False
35.0,89367.02,-2728476569,False
40.0,95269.41,-4120092819,True
25.0,68792.31,-6678498435,False
25.0,89119.53,-2418623689,True
35.0,58212.13,-3628917755,False
30.0,77764.24,-6205634110,True
35.0,75148.17,-5950342810,False
40.0,108781.18,-3904383033,False
35.0,65489.19,-1990970050,True
,70663.46,-4054683564,False
40.0,95822.56,-2156818208,False
40.0,82258.03,-6790422710,True
30.0,62883.34,-3322889856,False
,103503.72,-2545960632,True
25.0,85401.3,-9912971023,True
40.0,,-8171752420,False
,98850.14,-4955112746,False
25.0,63435.24,-4721970545,False
35.0,82129.84,-6927589550,False
35.0,95492.61,-6874090379,False
40.0,94572.37,-2146296135,False
40.0,118413.05,-7157787111,False
30.0,68976.65,-1663651558,True
,115013.65,-7371470826,False
,70949.38,-2359096055,True
,105334.87,-7303064420,False
,80596.18,-2146147682,False
,72846.37,-4201654234,True
40.0,80229.36,-6778265959,False
25.0,55145.47,-8931992549,False
30.0,,-2727516479,True
40.0,56110.81,-7279103367,False
25.0,56514.5,-2963533904,False
40.0,104541.84,-5044817765,False
,61865.12,-5586851275,True
40.0,69317.33,-5289286645,False
35.0,84706.17,-4911110960,False
25.0,73255.21,-7981789045,False
40.0,59528.71,-3378613714,False
40.0,70401.37,-7660538443,True
,107154.62,-4630600024,True
,97719.88,-8955296385,False
30.0,107327.59,-3960962625,False
40.0,67687.72,-5826312818,True
40.0,90757.08,-6482531105,True
,87583.42,-920981959,False
25.0,61643.69,-2752334382,True
35.0,68111.69,-6404120910,False
40.0,97568.88,-7911244210,True
35.0,79118.28,-7536170616,True
30.0,104898.9,-1366572239,True
40.0,81671.3,-2990155798,True
25.0,97399.75,-8028413907,False
,89189.43,-882351304,True
40.0,96011.55,-2312447314,True
40.0,99331.49,-8477686341,False
,72818.94,-3461994236,True
40.0,77204.75,-6769459195,True
35.0,106961.68,-6395517207,False
,71923.0,-4964985600,True
30.0,77192.43,-2562531354,False
40.0,98540.3,-2510505378,False
,63096.9,-5381649382,False
35.0,107065.12,-1849196654,False
40.0,108792.43,-3307704610,True
,69239.7,-7295963903,False
40.0,85756.42,-907426087,True
,100328.62,-501716444,True
25.0,111236.69,-5618579063,True
35.0,106832.22,-7715910299,True
,59746.45,-2156321357,True
25.0,91780.04,-40104144,True
35.0,107062.66,-9642297124,True
25.0,110625.52,-2967188396,True
30.0,90419.79,-7457314414,True
40.0,111608.76,-8331170302,True
35.0,50173.12,-7637153987,False
40.0,109507.44,-5472812355,False
30.0,72600.56,-7983631461,False
,53388.65,-4912711306,True
25.0,50047.32,-2407875417,False
30.0,115290.79,-1563268684,False
35.0,61586.76,-745106633,False
30.0,56662.86,-3629489785,True
30.0,,-1031310093,True
25.0,54957.98,-3181439665,True
25.0,76790.47,-1347323548,True
30.0,92722.35,-4012897431,False
30.0,93125.32,-5122572075,False
25.0,101100.64,-5024120956,False
35.0,55897.41,-9073710093,False
25.0,92484.88,-3882211456,True
35.0,77011.99,-7584745704,True
,77078.68,-4589714801,True
35.0,82971.02,-6325703964,False
25.0,65102.01,-3136148781,True
,103697.7,-4556964429,True
25.0,60687.63,-9859167953,False
,77351.21,-1072728497,False
35.0,66704.62,-2474140702,True
25.0,71650.3,-4910740649,True
25.0,50794.54,-425488213,True
,76030.86,-2369143074,True
25.0,86669.79,-3666144941,True
40.0,84972.7,-9659234267,True
30.0,100594.49,-3441497825,False
25.0,75478.35,-6128758574,False
25.0,79355.85,-6766708060,False
35.0,58358.07,-2943985297,True
30.0,54824.85,-9406260786,False
35.0,50557.84,-104159148,True
,118030.04,-7501980381,True
,51673.72,-8723244078,False
35.0,101665.79,-3110291812,True
,118079.15,-3170876013,True
25.0,99059.28,-6723849790,False
,107397.4,-6202232882,False
40.0,68269.37,-7744197545,False
35.0,55228.12,-6176620470,True
30.0,71982.33,-9609409704,False
30.0,109673.75,-2774025882,False
,56384.9,-5868122594,True
40.0,68211.68,-7244617678,False
40.0,67489.68,-2988425994,False
25.0,63869.31,-9961002310,False
,119801.3,-7753312660,True
30.0,115959.65,-941017589,True
40.0,79866.48,-2517629832,True
35.0,92987.46,-4774332682,True
40.0,56140.51,-1901302055,False
30.0,119586.11,-9815287338,True
40.0,104700.46,-7855982175,True
40.0,91798.14,-6191284116,False
25.0,90879.22,-3098503445,False
25.0,87358.27,-5124189388,False
30.0,119407.93,-8469081973,True
,113978.6,-56435022,True
,108568.78,-8503719904,True
,56318.02,-1699187239,False
25.0,114252.73,-1078356742,False
35.0,51533.9,-3896086,True
25.0,99317.66,-662668216,False
35.0,101264.64,-1955356032,False
35.0,112272.02,-1903689002,False
30.0,71477.63,-102724054,True
30.0,77412.1,-9342967110,False
30.0,94775.27,-4837537457,False
30.0,74276.71,-4384588104,True
35.0,67467.86,-6974132833,True
25.0,80675.41,-8315203770,False
40.0,76274.33,-704496409,False
30.0,51405.46,-4967066702,True
25.0,101238.96,-3626804084,True
35.0,52169.52,-954930595,False
,73176.62,-6018648768,False
,96241.85,-9842673203,False
25.0,84366.38,-4138459608,False
40.0,92015.09,-4544901494,True
30.0,83149.95,-4277070704,False
40.0,94930.65,-7836091497,False
40.0,68430.72,-5172444722,True
35.0,98752.97,-2290310286,False
,54268.86,-9508304404,True
,66494.94,-8093511870,False
25.0,90003.98,-8133595615,False
25.0,106592.25,-4205955656,True
25.0,93905.83,-4902504289,True
35.0,88945.49,-1935889535,False
,91130.33,-9026113988,False
40.0,90787.4,-8681809787,False
25.0,87494.34,-7543943534,True
35.0,92627.35,-3751376514,False
40.0,98556.29,-8815793762,True
30.0,112792.2,-9283692943,True
35.0,56875.22,-5511668296,False
35.0,101015.96,-3270216486,True
30.0,83912.22,-1206021287,False
25.0,99669.86,-6652683414,False
30.0,52314.97,-5999101575,False
30.0,77785.96,-7647229811,False
30.0,62430.86,-995765727,False
35.0,98219.54,-9413475097,True
25.0,65494.58,-8986456521,True
35.0,110524.1,-368499514,False
40.0,106060.54,-4214477323,False
35.0,67639.91,-4913421387,True
,117653.98,-2090883069,True
35.0,73539.86,-5349678273,True
35.0,70915.38,-1176741240,True
25.0,97652.9,-5131528546,False
35.0,101571.25,-8150618537,False
35.0,87424.46,-32963346,True
,89077.36,-2727423182,False
30.0,89132.22,-617893205,True
25.0,111000.26,-4969357823,False
35.0,109584.97,-3477695873,True
40.0,97648.84,-1314675360,False
25.0,78643.43,-2751562778,True
30.0,55656.8,-6304483607,True
35.0,69146.95,-5456676639,False
,93013.58,-4735047638,True
40.0,87364.78,-2831995297,False
35.0,50288.67,-61558107,False
35.0,85233.55,-3583286341,True
25.0,86420.19,-5563830007,False
30.0,63189.82,-1867024402,False
25.0,64783.32,-3041662410,False
25.0,52615.44,-1860089218,False
,96337.89,-6394568043,False
25.0,76617.76,-7314976460,True
30.0,50651.32,-3684748835,False
,59601.45,-765817389,False
,57980.88,-6375791451,False
,75054.53,-1182379311,False
25.0,115318.7,-6978930745,False
25.0,90190.69,-4520599603,True
,113334.56,-3878753576,False
35.0,106922.49,-8811616201,True
35.0,58113.07,-8123710671,True
25.0,73006.26,-8728660415,True
25.0,78054.43,-4485959223,True
40.0,112028.67,-8395894772,False
25.0,83787.24,-5228705621,True
30.0,52017.14,-7104331874,True
40.0,53218.06,-1097921582,False
25.0,102053.67,-5034469458,False
35.0,93276.73,-6488319212,False
40.0,76941.36,-4249128964,True
25.0,82850.23,-9994973202,False
25.0,117910.15,-3192227050,False
,66450.0,-287675480,True
25.0,118646.95,-3866675484,False
25.0,88436.92,-8193242686,False
,81934.55,-7418652056,False
30.0,93383.06,-5639836519,False
40.0,50153.79,-3758309450,True
,53204.47,-5480940475,False
40.0,63128.04,-440907976,False
30.0,57543.6,-2781050921,True
40.0,59424.52,-2161070517,False
,104675.7,-4390552957,True
30.0,92431.25,-660138240,False
40.0,77850.9,-2704938619,True
40.0,99001.0,-4485157918,True
,94280.83,-7111212589,True
35.0,118262.56,-2035713431,True
25.0,89944.67,-4064242955,False
,57452.93,-3343244740,True
25.0,97837.32,-7595587208,False
35.0,106981.84,-6289365434,True
,105778.36,-8841834373,True
40.0,117608.32,-182727954,True
30.0,99324.03,-9690515025,False
30.0,55212.83,-7551254277,True
40.0,68496.77,-2079799666,False
25.0,52795.84,-3459576402,False
,90087.39,-8166496901,False
,105038.08,-8249839224,False
25.0,73231.85,-142576269,False
,102649.36,-2324412335,False
35.0,114302.51,-1328507250,False
35.0,87816.61,-7863767315,False
,70750.38,-2526546967,False
,,-1579039234,True
30.0,97978.36,-5580996131,True
,107172.8,-7303461561,True
25.0,56126.46,-6244670461,True
,78534.29,-2681715159,True
40.0,,-2529867075,False
,114963.34,-6046419784,False
,77657.93,-7585126860,False
30.0,77369.48,-2059438975,False
30.0,76119.14,-740177508,False
25.0,77585.72,-5465408423,False
35.0,74069.62,-5607540914,False
30.0,67691.92,-863218121,True
,70345.69,-7645793896,True
30.0,74999.69,-155029167,True
25.0,72245.02,-1546602415,True
,106538.98,-1394498829,False
25.0,101787.14,-5973642479,False
30.0,83596.78,-9624406305,False
40.0,92463.94,-2447951329,True
,93863.32,-5319497968,False
,78359.41,-5867805554,False
,95773.57,-7277382645,False
30.0,82529.08,-917851384,True
35.0,109358.73,-4457702991,False
,89645.01,-9596604872,True
40.0,84134.95,-6826911632,True
30.0,113540.83,-1942268652,True
40.0,57225.75,-6945515887,True
35.0,76366.17,-6367747225,False
,78408.95,-4085721695,True
40.0,111742.4,-6630932997,True
25.0,60516.83,-1996059328,False
30.0,83706.17,-7150968831,False
,67056.92,-7532735240,True
30.0,90058.85,-397739731,False
30.0,94633.59,-7819523709,True
25.0,110711.17,-687616480,True
,96175.41,-9807704604,True
40.0,76474.79,-6876112490,True
30.0,107855.99,-2565237340,False
40.0,104870.78,-5177345474,True
25.0,,-7494902283,False
,87087.16,-359544293,False
40.0,108603.34,-7742229463,False
30.0,55867.23,-3039429044,False
35.0,105259.57,-8867925297,True
,98143.67,-5856728726,False
25.0,67754.29,-6015343323,True
,77821.79,-9135779082,False
30.0,67764.44,-3506158147,False
40.0,102346.99,-8810798333,True
25.0,73690.65,-2337209483,True
30.0,56376.2,-1312840332,True
25.0,55602.78,-9977180512,False
40.0,99812.41,-7171731892,False
40.0,95981.9,-9749096172,True
30.0,98891.48,-9970469471,True
35.0,56079.0,-5878444834,True
35.0,,-4884712704,True
25.0,89137.97,-8772216416,False
35.0,115079.97,-5823133483,True
30.0,55067.02,-5871493924,True
,98593.43,-2362292586,True
30.0,112756.67,-9643474523,True
25.0,105205.92,-5557469659,False
35.0,50680.62,-6065274032,True
35.0,107475.23,-4450566587,False
40.0,68835.3,-3398741131,True
40.0,66943.96,-5797067348,True
30.0,104525.69,-9601054856,False
40.0,109360.74,-4172156228,True
40.0,118907.63,-4938173597,False
40.0,86801.48,-4884021556,False
,62236.03,-3257375533,True
35.0,64752.67,-4902166669,False
35.0,68399.43,-8085096084,False
35.0,79336.51,-8749511917,False
40.0,59179.74,-1828197930,False
25.0,80255.31,-6477251294,False
30.0,84971.85,-7860694095,False
40.0,89748.42,-35624394,False
25.0,94090.35,-8739592322,False
35.0,115229.12,-4210890284,True
40.0,63927.07,-1553334263,True
35.0,84124.56,-3350271606,False
40.0,116961.61,-3607763368,True
40.0,109423.05,-1128981230,False
35.0,70394.94,-7955633184,False
35.0,86465.5,-7481700665,True
30.0,96341.58,-1554164315,False
30.0,54465.47,-7045023289,False
25.0,68371.66,-2822700933,False
35.0,81021.23,-5962622821,False
25.0,114069.07,-5120734653,True
,117867.96,-9500507025,False
,94509.58,-869822104,False
35.0,56268.78,-3161177686,False
35.0,86632.14,-2904774257,True
35.0,98143.9,-5917793237,False
35.0,,-2231164912,True
30.0,67492.73,-3424579888,True
40.0,93772.61,-4256529059,False
35.0,68817.54,-3202032649,False
30.0,81874.01,-9775396736,True
30.0,117880.14,-9487148551,False
35.0,100897.49,-4578715840,True
25.0,71810.37,-5608213710,True
40.0,109048.24,-8425476817,False
35.0,62712.26,-2683230357,False
40.0,76935.85,-9298808582,True
25.0,56577.22,-8252129327,True
40.0,61102.8,-9634064685,True
35.0,75229.87,-7752401483,True
25.0,51054.74,-3991062271,False
40.0,104843.27,-3626693350,False
35.0,56398.11,-3426192371,False
25.0,87544.73,-4501848196,False
30.0,74312.24,-3741897214,False
25.0,59431.25,-4064176926,True
40.0,84306.44,-4381199536,False
35.0,108194.47,-6601444855,False
25.0,107359.3,-4510173972,False
25.0,,-9641789968,False
,96080.26,-8609191910,False
30.0,88602.75,-3599660576,True
40.0,86624.04,-9806603919,True
30.0,63413.16,-5146074554,True
40.0,67915.7,-3470574237,False
25.0,108245.44,-8565271558,True
35.0,75834.81,-8354116596,True
,71273.32,-2634755751,False
25.0,63262.23,-2501394883,False
,89069.91,-8826913118,False
40.0,57287.17,-6425856260,True
,119890.35,-4991537037,True
35.0,103492.91,-2407333372,False
,76254.42,-2043097767,False
35.0,100841.93,-8936289695,True
,118907.61,-4546553584,True
25.0,88942.62,-1253892186,False
25.0,59688.57,-8519358373,False
30.0,77985.88,-9079779611,True
35.0,112931.69,-878057214,False
,106583.88,-1494097625,True
35.0,58437.84,-3748453985,True
40.0,72352.16,-2895090590,True
,97154.47,-1918623391,True
,80235.5,-2071511695,False
30.0,102172.05,-6672521451,False
25.0,98850.94,-6471246334,True
,89993.15,-1571840907,True
30.0,97931.66,-512080055,True
40.0,72451.69,-4099512396,True
35.0,119311.14,-2835129591,True
40.0,76167.46,-7282709080,False
25.0,114871.08,-4415298216,False
25.0,81504.31,-3929578670,False
,102524.86,-8153523735,False
25.0,53043.74,-507918157,True
30.0,82547.26,-9988683451,True
40.0,113900.81,-7346666169,True
25.0,118585.5,-7158796473,True
35.0,63049.22,-803149981,True
,114558.91,-5080046357,False
40.0,97901.79,-688285030,True
30.0,68037.56,-7235137398,False
,112802.27,-63140351,False
40.0,93786.72,-6356022938,False
,73049.93,-4694346065,False
30.0,64161.72,-6437490606,True
40.0,72224.73,-2311127127,False
30.0,103580.45,-5246484493,False
40.0,112589.11,-1163187327,False
30.0,51833.88,-771130620,True
,66252.78,-1369572789,True
25.0,109229.68,-8335090253,True
30.0,61465.05,-2573066247,False
25.0,96993.74,-1323570712,False
25.0,98150.39,-9848228500,True
40.0,107703.0,-1688092549,False
,86766.14,-2130609068,True
,111443.69,-1309810795,True
,89039.07,-4967379456,False
30.0,71318.79,-7278532425,False
30.0,98296.71,-4250642075,False
40.0,62584.0,-8362536666,False
40.0,62521.5,-7767555627,True
40.0,95400.35,-3333939577,True
25.0,94385.07,-6543627186,True
,76642.49,-4960335825,True
,60122.52,-8627036923,True
40.0,117267.63,-9269326572,False
25.0,,-2759980110,True
40.0,84542.68,-5155322,True
40.0,92007.15,-4159597751,True
,62938.8,-4418222617,False
25.0,108661.01,-9628874311,False
25.0,97046.33,-7102676719,False
40.0,56518.84,-9579927078,False
40.0,70498.29,-5515122945,True
35.0,98708.06,-2135415969,True
,83856.41,-9962543847,False
40.0,90259.99,-752034475,False
,94230.03,-5047158028,True
,50110.66,-904637659,True
30.0,73365.46,-4655866524,False
25.0,67809.23,-4837441714,False
,98008.51,-8102131250,False
30.0,83537.58,-2931100590,False
30.0,112444.08,-2975191022,True
40.0,86475.13,-1211063300,True
,97984.53,-6583737926,True
25.0,118853.31,-4907280122,False
,58179.12,-4289311324,False
35.0,56075.84,-3269496842,True
40.0,62250.89,-6453804420,True
30.0,105931.77,-175096169,True
30.0,86653.96,-1595919456,True
25.0,100719.94,-5757475832,False
25.0,91600.13,-9205677566,True
25.0,71873.66,-7722660255,True
30.0,69365.47,-2650622922,True
25.0,58012.23,-1067245306,True
30.0,68973.65,-6248433796,True
,92928.4,-6627051156,True
25.0,53531.92,-9423873669,True
40.0,112389.31,-4254969191,False
,63870.3,-8455259709,False
40.0,106164.53,-7563353573,False
40.0,103654.54,-8595325938,False
30.0,62834.72,-9337970580,True
35.0,83273.41,-6295187793,False
30.0,58917.58,-1763425072,False
35.0,71148.27,-3055978244,True
30.0,118172.42,-7598339913,True
30.0,118614.37,-388436603,False
,96872.36,-4324006156,False
25.0,88856.14,-2768297513,True
35.0,97985.61,-7439742924,False
35.0,56337.31,-105875255,True
30.0,70405.23,-8065625903,True
30.0,89919.35,-5990802710,True
40.0,50568.35,-2218231554,True
30.0,,-1651768085,False
25.0,99155.53,-6281372142,True
40.0,64785.13,-3080037002,True
30.0,79206.48,-3228556607,False
30.0,60079.71,-4706810389,True
30.0,79109.88,-3397051957,False
,88643.5,-2632809447,False
30.0,90455.7,-5862394534,False
,75687.9,-4614707985,True
35.0,55604.42,-3210613393,False
40.0,92704.94,-3945703942,False
,113250.97,-8040325375,True
40.0,101367.02,-5769277893,False
35.0,102459.77,-3191009003,False
25.0,90100.2,-476921052,False
,58877.49,-3651460400,False
35.0,,-4247310719,False
,96140.89,-1137984408,True
35.0,105956.04,-7123166006,False
25.0,84716.38,-6762090143,False
30.0,61709.83,-7340433699,True
25.0,61732.03,-9687304518,True
40.0,97845.7,-5778255881,True
30.0,114905.58,-5562965753,False
,94619.69,-2786561941,True
,68696.15,-5577820581,False
40.0,97032.29,-9582923615,False
30.0,50593.33,-1880819047,True
25.0,74606.15,-2357155867,True
30.0,53981.73,-6395613722,False
,56047.05,-817214363,True
,67733.5,-3813000412,False
40.0,103891.64,-2114716559,True
25.0,73285.83,-9456534698,True
30.0,92721.13,-7990707549,True
25.0,92977.64,-4768169956,False
35.0,89994.12,-607174810,True
25.0,50060.73,-3176539704,False
35.0,90224.82,-4873961028,False
40.0,106859.3,-871827495,False
25.0,89707.07,-8049187273,False
